iter	Passed	Remaining
0	155	155306
1	160	79925
2	164	54714
3	168	41979
4	172	34426
5	176	29321
6	181	25750
7	185	23021
8	189	20890
9	193	19134
10	196	17698
11	200	16504
12	204	15524
13	208	14652
14	212	13930
15	215	13275
16	219	12701
17	223	12208
18	227	11759
19	232	11370
20	236	11009
21	240	10671
22	243	10364
23	247	10078
24	251	9822
25	255	9575
26	260	9400
27	265	9230
28	270	9070
29	275	8895
30	279	8735
31	283	8585
32	287	8431
33	291	8287
34	295	8154
35	299	8029
36	303	7910
37	307	7791
38	311	7681
39	315	7576
40	319	7470
41	323	7374
42	327	7281
43	331	7191
44	334	7097
45	338	7013
46	341	6933
47	345	6855
48	349	6779
49	353	6709
50	357	6644
51	360	6579
52	364	6512
53	368	6447
54	371	6383
55	375	6324
56	378	6269
57	382	6211
58	386	6158
59	390	6118
60	394	6077
61	398	6034
62	403	5998
63	407	5954
64	410	5910
65	414	5869
66	418	5829
67	422	5787
68	426	5747
69	429	5710
70	433	5672
71	437	5637
72	441	5604
73	445	5572
74	449	5538
75	454	5524
76	459	5506
77	464	5489
78	468	5457
79	471	5423
80	475	5392
81	479	5364
82	482	5332
83	486	5304
84	490	5278
85	494	5251
86	498	5228
87	502	5203
88	505	5177
89	509	5152
90	513	5133
91	518	5115
92	522	5098
93	526	5074
94	530	5055
95	534	5031
96	538	5009
97	541	4987
98	546	4969
99	549	4948
100	553	4928
101	557	4907
102	561	4890
103	565	4868
104	568	4848
105	572	4826
106	577	4819
107	582	4812
108	586	4792
109	589	4773
110	593	4756
111	597	4740
112	601	4724
113	605	4705
114	609	4688
115	613	4674
116	617	4656
117	621	4642
118	624	4626
119	628	4612
120	632	4594
121	635	4577
122	639	4559
123	643	4545
124	646	4528
125	650	4513
126	654	4498
127	658	4483
128	661	4468
129	665	4453
130	669	4439
131	672	4423
132	676	4410
133	680	4397
134	684	4384
135	688	4370
136	691	4357
137	695	4343
138	699	4330
139	702	4318
140	706	4306
141	710	4292
142	714	4281
143	718	4273
144	722	4262
145	726	4248
146	730	4236
147	733	4224
148	737	4211
149	741	4199
150	744	4187
151	748	4174
152	752	4163
153	756	4154
154	759	4142
155	763	4133
156	767	4123
157	772	4115
158	777	4112
159	783	4112
