iter	MultiClass
0	1.764700343
1	1.626965468
2	1.494522035
3	1.398000765
4	1.319399636
5	1.251179092
6	1.188078623
7	1.121677975
8	1.062429149
9	1.017191858
10	0.975800354
11	0.9356367278
12	0.8960713361
13	0.8561707653
14	0.8232691688
15	0.7888000574
16	0.7637982984
17	0.7458491312
18	0.7187338253
19	0.6962851871
20	0.6764233706
21	0.6569241513
22	0.6409288226
23	0.6242466971
24	0.6082170883
25	0.5901258746
26	0.5762377024
27	0.556032587
28	0.5419879852
29	0.5312085431
30	0.5214434921
31	0.5109707898
32	0.5003766127
33	0.4869166897
34	0.4771114708
35	0.4689488492
36	0.4577823947
37	0.4476142708
38	0.4412674138
39	0.4350167155
40	0.4280923989
41	0.4204177905
42	0.4138682692
43	0.4075304148
44	0.3995886553
45	0.3956852682
46	0.3891247876
47	0.3840329228
48	0.3790438062
49	0.3728728564
50	0.3651280728
51	0.3585233815
52	0.3551016448
53	0.3489153135
54	0.3430163798
55	0.3380518417
56	0.332658183
57	0.3284272237
58	0.3237859977
59	0.3208938825
60	0.3145912776
61	0.3102483778
62	0.3066901168
63	0.3018936132
64	0.2979426078
65	0.2957559289
66	0.2912450158
67	0.2872101434
68	0.2854187045
69	0.2819493089
70	0.2782464808
71	0.2764214729
72	0.2737070562
73	0.2703428348
74	0.2687012449
75	0.2667387973
76	0.2645596407
77	0.2609062391
78	0.25671676
79	0.252786351
80	0.2504517694
81	0.2481598907
82	0.2447025297
83	0.2420836585
84	0.2411307622
85	0.2384696884
86	0.2365351021
87	0.2356333465
88	0.2344111324
89	0.2316532528
90	0.2303561118
91	0.2283912769
92	0.226114736
93	0.2240615361
94	0.2214238151
95	0.2181492487
96	0.2165594337
97	0.2148382537
98	0.2140374072
99	0.2130678349
100	0.2094142046
101	0.2084870762
102	0.2065235011
103	0.2048508844
104	0.2031108552
105	0.2003637061
106	0.1974874941
107	0.1962071262
108	0.1946265105
109	0.1926314198
110	0.1904618066
111	0.1887240788
112	0.1871820401
113	0.1863532022
114	0.1854477446
115	0.1839295387
116	0.1832822834
117	0.1820477745
118	0.1811222646
119	0.1795314699
120	0.1779835362
121	0.1770163362
122	0.1744958564
123	0.1726253378
124	0.1719502988
125	0.1710499254
126	0.1696247265
127	0.1675067205
128	0.1666064294
129	0.1649593206
130	0.1634092957
131	0.1625217017
132	0.1610686478
133	0.1591536455
134	0.158325571
135	0.156791783
136	0.1550389543
137	0.153767482
138	0.152115608
139	0.1511708614
140	0.149790044
141	0.1488584807
142	0.1478527709
143	0.1471223958
144	0.1460678368
145	0.1452634119
146	0.1446008607
147	0.142889321
148	0.1421628468
149	0.1411664805
150	0.1406530774
151	0.1400912619
152	0.1392442526
153	0.1384813343
154	0.1371730003
155	0.1365535621
156	0.1344456118
157	0.1329526175
158	0.1325210513
159	0.1315945964
160	0.130968684
161	0.1302982597
162	0.1296621096
163	0.1289317652
164	0.1279230541
165	0.1268023932
166	0.1261688049
167	0.125987792
168	0.1254103508
169	0.1236481045
170	0.1232259975
171	0.1221722122
172	0.1216095961
173	0.1202908553
174	0.1194715425
175	0.1186794258
176	0.11808244
177	0.1172659487
178	0.1166825431
179	0.1153027559
180	0.1148836214
181	0.1142272939
182	0.1134386102
183	0.1125997791
184	0.1119640226
185	0.1112101643
186	0.1106296099
187	0.110100621
188	0.1096947529
189	0.1089647705
190	0.1086138374
191	0.1081943688
192	0.1077866085
193	0.1076277969
194	0.1070670128
195	0.1067983905
196	0.1053325842
197	0.1047180125
198	0.104438984
199	0.1042875477
200	0.1038850602
201	0.1034641296
202	0.1028347678
203	0.1025069083
204	0.1018750251
205	0.1007120457
206	0.1001244998
207	0.09953900525
208	0.09836821193
209	0.09787959347
210	0.09645668218
211	0.09583082983
212	0.095264906
213	0.09494998747
214	0.09452590121
215	0.09310357272
216	0.09266289768
217	0.09234997608
218	0.0916773461
219	0.09128552315
220	0.090168133
221	0.08954397505
222	0.08927437982
223	0.08891710755
224	0.08859147231
225	0.08825549884
226	0.08797074154
227	0.08766067594
228	0.08729288461
229	0.08685954285
230	0.08654233908
231	0.0861544088
232	0.08572524917
233	0.0853187398
234	0.08477535414
235	0.08451142027
236	0.08416952191
237	0.08400642057
238	0.0838429583
239	0.08333895611
240	0.0831433286
241	0.08301961415
242	0.08270512539
243	0.08221101771
244	0.08136346535
245	0.08102670499
246	0.08084999241
247	0.08066919727
248	0.08036276565
249	0.08013559143
250	0.07961652543
251	0.07896518426
252	0.07816435775
253	0.07779025227
254	0.07748912691
255	0.07687810491
256	0.07682927931
257	0.07655125387
258	0.07629432969
259	0.07596924117
260	0.07580227875
261	0.07552640973
262	0.07532276337
263	0.0746387772
264	0.07445339738
265	0.07406827468
266	0.07371741831
267	0.07319966665
268	0.0730759346
269	0.07282413917
270	0.07230702375
271	0.07182104256
272	0.07167649998
273	0.07140120118
274	0.07110987883
275	0.07078393245
276	0.07032424578
277	0.07015120347
278	0.06976367175
279	0.06951363989
280	0.06920810228
281	0.06893801837
282	0.0687068476
283	0.0684912889
284	0.06829068689
285	0.06810151408
286	0.06791702586
287	0.06758181815
288	0.06742520558
289	0.06711935756
290	0.0670670172
291	0.06673204281
292	0.06646814361
293	0.066214952
294	0.06583250826
295	0.06536616534
296	0.06506612292
297	0.06483009634
298	0.06470936441
299	0.06453170564
300	0.06432917923
301	0.0641379276
302	0.06390421661
303	0.06344552701
304	0.06327633606
305	0.06316515314
306	0.06294622125
307	0.06286991771
308	0.06257343237
309	0.06221208302
310	0.06208321027
311	0.0619178764
312	0.06180123471
313	0.06147633289
314	0.06127809505
315	0.06118387262
316	0.06070545412
317	0.06040389007
318	0.0601748349
319	0.05991177657
320	0.05963975931
321	0.05942405135
322	0.05926498324
323	0.05905172409
324	0.05896308768
325	0.05866241351
326	0.05853234923
327	0.05832173211
328	0.0577415284
329	0.05744138862
330	0.05717480571
331	0.05707787498
332	0.05686802402
333	0.05673445853
334	0.05655503665
335	0.0563501211
336	0.05625063802
337	0.05601005057
338	0.05577114089
339	0.05550211196
340	0.05525735078
341	0.05513693885
342	0.05490989633
343	0.05471541355
344	0.05444856955
345	0.05414032128
346	0.05386852414
347	0.05373933074
348	0.05367180121
349	0.05347384976
350	0.05336425855
351	0.05323544062
352	0.05305221236
353	0.05286561181
354	0.05261537435
355	0.05242307141
356	0.05229791888
357	0.05215202668
358	0.0518963379
359	0.05163313665
360	0.05151800164
361	0.05132651431
362	0.05120336169
363	0.05102289929
364	0.0507389621
365	0.05060933998
366	0.05051321937
367	0.05041390182
368	0.05016498785
369	0.04995458673
370	0.04952243212
371	0.04937038529
372	0.04925789918
373	0.04891375585
374	0.04874471558
375	0.04871044715
376	0.04847849014
377	0.04832675558
378	0.04820290203
379	0.04805641903
380	0.04781797021
381	0.04773180796
382	0.0476329885
383	0.04748199162
384	0.04730175725
385	0.04713604589
386	0.04696636426
387	0.04687999793
388	0.04667757071
389	0.04660029391
390	0.04652364218
391	0.04643855466
392	0.04628767214
393	0.04611453563
394	0.04601755552
395	0.04589239641
396	0.04567445651
397	0.04549701363
398	0.04537696256
399	0.04522013594
400	0.04502565524
401	0.0450015234
402	0.04487091649
403	0.04474266319
404	0.04456585389
405	0.04412036513
406	0.04399704661
407	0.04394492082
408	0.04378158709
409	0.04366759136
410	0.04348854024
411	0.04326086734
412	0.04321403919
413	0.0431386506
414	0.04305795891
415	0.04300139754
416	0.04285485682
417	0.04264218301
418	0.04256638742
419	0.04248146421
420	0.04242332502
421	0.04222507681
422	0.04212786538
423	0.04197142332
424	0.0418039811
425	0.04172801013
426	0.04167491837
427	0.04140880538
428	0.04135017095
429	0.04121634515
430	0.04110638145
431	0.04097777359
432	0.04087474742
433	0.04070812057
434	0.04061381824
435	0.04051448214
436	0.04035211619
437	0.04029754657
438	0.04018221416
439	0.03993509607
440	0.03983272306
441	0.03977915729
442	0.03969974128
443	0.03949283385
444	0.03936912363
445	0.03929472594
446	0.03918911732
447	0.03911324721
448	0.03901403728
449	0.03885297655
450	0.03871609567
451	0.03849303472
452	0.03841957526
453	0.03834116991
454	0.03807630717
455	0.03798644374
456	0.03787368782
457	0.03779913703
458	0.03768279442
459	0.0376031598
460	0.03752455082
461	0.03740488268
462	0.03732893125
463	0.03718212817
464	0.03709731903
465	0.03701131171
466	0.03690554523
467	0.03685024551
468	0.03676177363
469	0.03672123477
470	0.03665387471
471	0.03656981952
472	0.03651749062
473	0.03646770287
474	0.03633826646
475	0.03627400444
476	0.03613956905
477	0.03603440665
478	0.03593191042
479	0.03587923284
480	0.03567186085
481	0.03558227779
482	0.03551840866
483	0.03545351282
484	0.03536656713
485	0.03531562201
486	0.03525034826
487	0.03520500375
488	0.03508983708
489	0.03504550618
490	0.03494664128
491	0.03489852737
492	0.03487918774
493	0.03475756297
494	0.03465429566
495	0.03458570826
496	0.03452476312
497	0.03444101943
498	0.03436681932
499	0.03427087592
500	0.03416127695
501	0.03410122647
502	0.03401857422
503	0.03396250278
504	0.03392801459
505	0.03382653038
506	0.03377667451
507	0.03365878022
508	0.03363794999
509	0.03359286178
510	0.03354116806
511	0.03349385577
512	0.03340997644
513	0.0333670048
514	0.03329963637
515	0.03315320509
516	0.03306307799
517	0.0330115068
518	0.03297876085
519	0.0328742562
520	0.03275088226
521	0.03266831161
522	0.03255205362
523	0.03252348679
524	0.0324769308
525	0.03241324098
526	0.03222549344
527	0.03215580205
528	0.03213978154
529	0.03205680776
530	0.03201880391
531	0.03195177622
532	0.03188201845
533	0.03173272848
534	0.03167889068
535	0.0316386119
536	0.0315025736
537	0.03145442965
538	0.03139651894
539	0.03133474626
540	0.03123101523
541	0.03116343562
542	0.03110313821
543	0.03105638109
544	0.03099786162
545	0.03093633825
546	0.03092625835
547	0.03086623798
548	0.03082807898
549	0.03078677284
550	0.03071542041
551	0.03067079224
552	0.03062723334
553	0.03059566451
554	0.0305122191
555	0.03039296051
556	0.0303144863
557	0.03022366956
558	0.03020455222
559	0.0301733784
560	0.03005165111
561	0.03004046908
562	0.02999263157
563	0.02990272178
564	0.02978908324
565	0.02977478682
566	0.02969586805
567	0.02966990246
568	0.02958682292
569	0.02949632584
570	0.0294289799
571	0.0293256759
572	0.02925260463
573	0.0292056931
574	0.02916196511
575	0.02911407781
576	0.02899692859
577	0.02896590182
578	0.02891630804
579	0.02888543901
580	0.02882931659
581	0.02874015132
582	0.02870443344
583	0.02863436411
584	0.02858235306
585	0.02855940237
586	0.0285117114
587	0.02847055509
588	0.02842085113
589	0.02838504054
590	0.02825037082
591	0.02821315879
592	0.02814498751
593	0.02804060693
594	0.02797262486
595	0.02794978416
596	0.02789302564
597	0.02784493155
598	0.02777936766
599	0.02771014095
600	0.02766943078
601	0.02765620777
602	0.02759527329
603	0.02743964806
604	0.02738901177
605	0.02734755873
606	0.02731716943
607	0.02723979854
608	0.02719134957
609	0.0271535389
610	0.02710294757
611	0.0270398942
612	0.02700792942
613	0.02692364446
614	0.02687402526
615	0.02682350864
616	0.02671744421
617	0.02667433834
618	0.02662527721
619	0.02653276853
620	0.02649916432
621	0.0264082054
622	0.02635085518
623	0.02630351721
624	0.02624160329
625	0.02622746076
626	0.02618990339
627	0.02617485844
628	0.02611537414
629	0.02607297503
630	0.02598960828
631	0.02594180293
632	0.02592248261
633	0.02586743867
634	0.02576902853
635	0.02565199687
636	0.0255984417
637	0.02556316389
638	0.02551906536
639	0.02547522046
640	0.0254332713
641	0.02537423022
642	0.02534046221
643	0.02527383151
644	0.02521565862
645	0.02517492312
646	0.02511137863
647	0.02508413083
648	0.02504844129
649	0.02500400754
650	0.02493962243
651	0.02490944071
652	0.02487914407
653	0.02484523446
654	0.0248007934
655	0.02478259737
656	0.02474935474
657	0.02467818983
658	0.02466041924
659	0.02463054194
660	0.02461285891
661	0.02455829829
662	0.02451956558
663	0.02446085383
664	0.02443128239
665	0.02437096282
666	0.024342436
667	0.02430599944
668	0.02425755282
669	0.02420292486
670	0.02416555135
671	0.02413956131
672	0.02408383587
673	0.02406745103
674	0.02401697289
675	0.02396557454
676	0.02391836825
677	0.02386564826
678	0.02382976057
679	0.02375452467
680	0.02371166154
681	0.02365805079
682	0.02361889181
683	0.02358361515
684	0.02352819398
685	0.02349488116
686	0.02345708973
687	0.02341365244
688	0.02337735154
689	0.02333534407
690	0.02328229603
691	0.02324413994
692	0.02315560983
693	0.02310656933
694	0.02304912043
695	0.02300897452
696	0.02297949292
697	0.02291379604
698	0.02287867743
699	0.02283188278
700	0.02278900431
701	0.02275723107
702	0.02273329164
703	0.0227160786
704	0.02269262742
705	0.02268030037
706	0.02263530473
707	0.02258457979
708	0.02255920808
709	0.02253291659
710	0.02246254683
711	0.02243256725
712	0.0223926724
713	0.02235737776
714	0.02233448737
715	0.02227870665
716	0.02221669745
717	0.02219850458
718	0.02214814079
719	0.02209805761
720	0.02204565003
721	0.02194619498
722	0.02190105805
723	0.02186986306
724	0.02185032788
725	0.0218005808
726	0.02174287431
727	0.02169392227
728	0.02165273898
729	0.02163703029
730	0.02160833985
731	0.02156405542
732	0.02153051602
733	0.02149860767
734	0.02147446163
735	0.02144217735
736	0.02140079237
737	0.02131365201
738	0.02127543169
739	0.02126274951
740	0.02123688899
741	0.02121099423
742	0.0211786664
743	0.02116387384
744	0.02110649371
745	0.02108474142
746	0.0210607525
747	0.02103425406
748	0.02101302875
749	0.02097651508
750	0.02095193874
751	0.02090838314
752	0.02080171797
753	0.02077477213
754	0.02075517314
755	0.02070034903
756	0.02064957292
757	0.02063286287
758	0.02062157156
759	0.02060542562
760	0.02054698738
761	0.02048277597
762	0.02045484426
763	0.02042340795
764	0.02039681927
765	0.02033507197
766	0.0202174719
767	0.02019023371
768	0.02013956941
769	0.02011029127
770	0.02008534645
771	0.0200466475
772	0.02001803287
773	0.01998741253
774	0.01991488463
775	0.01990233426
776	0.01987135934
777	0.01983639401
778	0.01980576502
779	0.01977808189
780	0.01972565267
781	0.01971179006
782	0.01966140645
783	0.01963010451
784	0.01960017793
785	0.0195893992
786	0.01957363422
787	0.01955102683
788	0.01952691005
789	0.01951190333
790	0.01947611277
791	0.01946076526
792	0.0194357854
793	0.01942139358
794	0.0193959724
795	0.01938087917
796	0.01934155602
797	0.01930232049
798	0.01928627692
799	0.01926951072
800	0.01924001668
801	0.01920641734
802	0.01918191946
803	0.01914038837
804	0.01911380187
805	0.01909184242
806	0.01902881114
807	0.01900351321
808	0.01897616453
